split,target_fpr,recall_diff_selective_minus_full,fpr_diff_selective_minus_full,accuracy_diff_selective_minus_full,expensive_call_reduction,recall_diff_ci_low,recall_diff_ci_high,fpr_diff_ci_low,fpr_diff_ci_high,accuracy_diff_ci_low,accuracy_diff_ci_high,expensive_call_reduction_ci_low,expensive_call_reduction_ci_high
calibration,0.01,-0.04166666666666667,0.02,-0.023696682464454888,0.7440758293838863,-0.09722222222222224,0.013888888888888895,0.00857142857142857,0.03428571428571429,-0.040284360189573376,-0.009478672985781977,0.7037322274881517,0.7843601895734598
calibration,0.025,0.0,0.020000000000000004,-0.016587677725118488,0.6350710900473934,-0.041666666666666685,0.041666666666666685,0.00857142857142857,0.037142857142857144,-0.03080568720379151,-0.004739336492890933,0.5899881516587677,0.6800947867298579
calibration,0.05,0.0,0.014285714285714287,-0.011848341232227555,0.2417061611374408,-0.04166666666666663,0.04166666666666663,0.0,0.03142857142857143,-0.028436018957345932,0.0023696682464454666,0.2037914691943128,0.28436018957345977
calibration,0.1,0.0,0.0057142857142856995,-0.004739336492890933,0.17061611374407581,0.0,0.0,0.0,0.01428571428571429,-0.011848341232227555,0.0,0.13507109004739337,0.20853080568720384
final_test,0.01,-0.04166666666666666,0.011428571428571429,-0.016587677725118488,0.7914691943127963,-0.125,0.04166666666666666,0.002857142857142857,0.022857142857142857,-0.033175355450236976,0.0,0.7511848341232228,0.8293838862559242
final_test,0.025,0.02777777777777779,0.01142857142857143,-0.004739336492890933,0.6540284360189573,-0.02777777777777779,0.08333333333333331,0.0028571428571428567,0.02285714285714286,-0.018957345971563955,0.007109004739336511,0.6090047393364929,0.6990521327014219
final_test,0.05,0.0,0.011428571428571427,-0.009478672985782088,0.2582938388625592,-0.06944444444444442,0.06944444444444442,0.0028571428571428567,0.02285714285714286,-0.026066350710900466,0.004739336492891044,0.21563981042654023,0.30094786729857825
final_test,0.1,0.0,0.005714285714285713,-0.004739336492891044,0.14454976303317535,0.0,0.0,0.0,0.01428571428571429,-0.011848341232227447,0.0,0.11137440758293837,0.1800947867298578
held_out_shift,0.01,-0.11764705882352941,0.0625,-0.09999999999999998,0.5,-0.23529411764705882,-0.029411764705882353,0.0,0.1875,-0.18,-0.020000000000000018,0.36,0.64
held_out_shift,0.025,-0.02941176470588236,0.0625,-0.040000000000000036,0.43999999999999995,-0.08823529411764708,0.0,0.0,0.1875,-0.09999999999999998,0.0,0.30000000000000004,0.5800000000000001
held_out_shift,0.05,-0.02941176470588236,0.0625,-0.039999999999999925,0.16000000000000003,-0.08823529411764708,0.0,0.0,0.1875,-0.09999999999999998,0.0,0.06000000000000005,0.26
held_out_shift,0.1,0.0,0.0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.33999999999999997
