scheme,family,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,intercept_rate,recall_ci95_low,recall_ci95_high,fpr_ci95_low,fpr_ci95_high,fpr_one_sided95_upper,avg_estimated_cost_ms
leave_family_out,all_monitors_always_on,200,119,81,115,4,14,67,0.9663865546218487,0.1728395061728395,0.8914728682170543,0.91,0.645,0.9161709907504949,0.9907669275533527,0.09784183851599947,0.2729587437223315,0.2569301168044325,1407.7604255
leave_family_out,cheapest_monitor_only,200,119,81,20,99,4,77,0.16806722689075632,0.04938271604938271,0.8333333333333334,0.485,0.12,0.10578773332657065,0.24756260652701026,0.013617087088063171,0.12163813948651114,0.10944841272038808,1.0351160000000001
leave_family_out,cost_tuned_cascade,200,119,81,94,25,13,68,0.7899159663865546,0.16049382716049382,0.8785046728971962,0.81,0.535,0.705689788909181,0.8591913798972766,0.08831884196112029,0.25880042514486906,0.24300746787931504,803.27416122
leave_family_out,fixed_cascade,200,119,81,41,78,1,80,0.3445378151260504,0.012345679012345678,0.9761904761904762,0.605,0.21,0.25984003273298867,0.43717811446820604,0.00031251668715382954,0.06687562093221079,0.05722999982329168,391.09717528249996
leave_family_out,learned_stacker_router,200,119,81,75,44,6,75,0.6302521008403361,0.07407407407407407,0.9259259259259259,0.75,0.405,0.536936530842745,0.7169190238871375,0.027668360524403943,0.1542861687152946,0.1409683721796739,887.6776797900001
leave_family_out,strongest_single_monitor,200,119,81,115,4,14,67,0.9663865546218487,0.1728395061728395,0.8914728682170543,0.91,0.645,0.9161709907504949,0.9907669275533527,0.09784183851599947,0.2729587437223315,0.2569301168044325,1368.6388044999999
leave_source_out,all_monitors_always_on,2159,403,1756,328,75,61,1695,0.8138957816377171,0.034738041002277904,0.8431876606683805,0.937007874015748,0.18017600741083836,0.7723989008098439,0.850709345547692,0.026673960154460774,0.04440079575626908,0.04281399533782971,1407.7604255
leave_source_out,cheapest_monitor_only,2159,403,1756,62,341,40,1716,0.15384615384615385,0.022779043280182234,0.6078431372549019,0.8235294117647058,0.047244094488188976,0.12003241783083506,0.19284060418225665,0.016322367268946737,0.030890453867928547,0.02955003804485153,1.035116
leave_source_out,cost_tuned_cascade,2159,403,1756,189,214,61,1695,0.46898263027295284,0.034738041002277904,0.756,0.872626215840667,0.1157943492357573,0.4194035541825019,0.5190204150941092,0.026673960154460774,0.04440079575626908,0.04281399533782971,384.2437264152386
leave_source_out,fixed_cascade,2159,403,1756,46,357,3,1753,0.1141439205955335,0.0017084282460136675,0.9387755102040817,0.8332561371005095,0.02269569245020843,0.08479018958359255,0.14930550781807403,0.00035245764440334,0.004984559284571329,0.004409548521470482,114.50725402941175
leave_source_out,learned_stacker_router,2159,403,1756,152,251,48,1708,0.3771712158808933,0.02733485193621868,0.76,0.8615099583140343,0.09263547938860583,0.32966498867404576,0.42649562971872557,0.020221808009784407,0.03608005412399777,0.034638958211787585,652.124735382353
leave_source_out,strongest_single_monitor,2159,403,1756,328,75,61,1695,0.8138957816377171,0.034738041002277904,0.8431876606683805,0.937007874015748,0.18017600741083836,0.7723989008098439,0.850709345547692,0.026673960154460774,0.04440079575626908,0.04281399533782971,1368.6388045000003
