requirement,status,evidence
Official Qwen3Guard template and structured parsing,complete,Pinned official model revision and all three input modes preserved.
Controlled monitor and end-to-end timing,complete,"Tesla T4, batch 1, excluded warm-up, CUDA synchronization, generation and parsing included."
Complete serialized learned router and fusion pipelines,complete,"Scaler, calibrated estimator, feature order, and provenance serialized and reload-verified."
Regenerated score cache and raw outputs,complete,Rule and compact exact regeneration; Qwen raw generations and manifests preserved.
Author label audit,complete,200 reviewed rows and 19 final corrections.
"Prompt-only, response-only, prompt-response comparison",complete,Audited-label metrics regenerated in final tables.
Full-information versus selective fusion at common FPRs,complete,"Targets 0.01, 0.025, 0.05, and 0.10 with paired bootstrap intervals."
All prespecified policy families,complete,"Six families selected, frozen, and evaluated."
Replacement for influenced final split,complete,Nested leave-source-out and leave-family-out evaluation.
Formal risk control,complete_with_scope_limit,Per-fold fixed-sequence Learn-then-Test on untouched risk-control partitions; no shift-transfer claim.
Stop/go decision,complete_no_go,Cost advantage passes; risk gate fails; measurement-validity pivot confirmed.
Final v3 route timing and reproducibility audit,complete,Locked route timed on Tesla T4; two unique Qwen examples changed classification.
