scope_type,scope_value,mode,decision_rule,roc_auc,average_precision,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision
overall,all,prompt_only,unsafe_only,0.8308302763442744,0.423630272888112,2159,403,1756,359,44,456,1300,0.890818858560794,0.25968109339407747,0.4404907975460123
overall,all,prompt_only,unsafe_or_controversial,0.8308302763442744,0.423630272888112,2159,403,1756,379,24,556,1200,0.9404466501240695,0.31662870159453305,0.4053475935828877
overall,all,response_only,unsafe_only,0.9054825143994076,0.7613118509515574,2159,403,1756,277,126,33,1723,0.6873449131513648,0.01879271070615034,0.8935483870967742
overall,all,response_only,unsafe_or_controversial,0.9054825143994076,0.7613118509515574,2159,403,1756,342,61,122,1634,0.8486352357320099,0.06947608200455581,0.7370689655172413
overall,all,prompt_response,unsafe_only,0.9255703239372135,0.7676579338938998,2159,403,1756,328,75,61,1695,0.8138957816377171,0.034738041002277904,0.8431876606683805
overall,all,prompt_response,unsafe_or_controversial,0.9255703239372135,0.7676579338938998,2159,403,1756,360,43,105,1651,0.8933002481389578,0.05979498861047836,0.7741935483870968
split,calibration,prompt_only,unsafe_only,0.8274262245208397,0.41484540578400586,422,76,346,66,10,85,261,0.868421052631579,0.24566473988439305,0.4370860927152318
split,calibration,prompt_only,unsafe_or_controversial,0.8274262245208397,0.41484540578400586,422,76,346,70,6,105,241,0.9210526315789473,0.30346820809248554,0.4
split,calibration,response_only,unsafe_only,0.8599787039853971,0.6988929588790518,422,76,346,48,28,6,340,0.631578947368421,0.017341040462427744,0.8888888888888888
split,calibration,response_only,unsafe_or_controversial,0.8599787039853971,0.6988929588790518,422,76,346,57,19,16,330,0.75,0.046242774566473986,0.7808219178082192
split,calibration,prompt_response,unsafe_only,0.9141314268329783,0.7866303952308024,422,76,346,56,20,6,340,0.7368421052631579,0.017341040462427744,0.9032258064516129
split,calibration,prompt_response,unsafe_or_controversial,0.9141314268329783,0.7866303952308024,422,76,346,65,11,16,330,0.8552631578947368,0.046242774566473986,0.8024691358024691
split,final_test,prompt_only,unsafe_only,0.8287123330226778,0.4106920697458367,422,74,348,65,9,85,263,0.8783783783783784,0.2442528735632184,0.43333333333333335
split,final_test,prompt_only,unsafe_or_controversial,0.8287123330226778,0.4106920697458367,422,74,348,68,6,106,242,0.918918918918919,0.3045977011494253,0.39080459770114945
split,final_test,response_only,unsafe_only,0.8896202236719479,0.7406643683189966,422,74,348,47,27,5,343,0.6351351351351351,0.014367816091954023,0.9038461538461539
split,final_test,response_only,unsafe_or_controversial,0.8896202236719479,0.7406643683189966,422,74,348,60,14,19,329,0.8108108108108109,0.05459770114942529,0.759493670886076
split,final_test,prompt_response,unsafe_only,0.8996194470332401,0.7336118771182788,422,74,348,57,17,10,338,0.7702702702702703,0.028735632183908046,0.8507462686567164
split,final_test,prompt_response,unsafe_or_controversial,0.8996194470332401,0.7336118771182788,422,74,348,62,12,22,326,0.8378378378378378,0.06321839080459771,0.7380952380952381
split,held_out_shift,prompt_only,unsafe_only,0.5307017543859649,0.7713875598086124,50,38,12,34,4,10,2,0.8947368421052632,0.8333333333333334,0.7727272727272727
split,held_out_shift,prompt_only,unsafe_or_controversial,0.5307017543859649,0.7713875598086124,50,38,12,38,0,12,0,1.0,1.0,0.76
split,held_out_shift,response_only,unsafe_only,0.9100877192982456,0.9462874130126342,50,38,12,36,2,2,10,0.9473684210526315,0.16666666666666666,0.9473684210526315
split,held_out_shift,response_only,unsafe_or_controversial,0.9100877192982456,0.9462874130126342,50,38,12,38,0,3,9,1.0,0.25,0.926829268292683
split,held_out_shift,prompt_response,unsafe_only,0.9133771929824561,0.9481419308120207,50,38,12,37,1,2,10,0.9736842105263158,0.16666666666666666,0.9487179487179487
split,held_out_shift,prompt_response,unsafe_or_controversial,0.9133771929824561,0.9481419308120207,50,38,12,38,0,3,9,1.0,0.25,0.926829268292683
split,policy_selection,prompt_only,unsafe_only,0.8488603988603989,0.4142118304376664,421,70,351,64,6,86,265,0.9142857142857143,0.245014245014245,0.4266666666666667
split,policy_selection,prompt_only,unsafe_or_controversial,0.8488603988603989,0.4142118304376664,421,70,351,67,3,102,249,0.9571428571428572,0.2905982905982906,0.39644970414201186
split,policy_selection,response_only,unsafe_only,0.8942409442409442,0.6972474583910484,421,70,351,47,23,9,342,0.6714285714285714,0.02564102564102564,0.8392857142857143
split,policy_selection,response_only,unsafe_or_controversial,0.8942409442409442,0.6972474583910484,421,70,351,59,11,35,316,0.8428571428571429,0.09971509971509972,0.6276595744680851
split,policy_selection,prompt_response,unsafe_only,0.9252747252747251,0.7279098155811566,421,70,351,61,9,16,335,0.8714285714285714,0.045584045584045586,0.7922077922077922
split,policy_selection,prompt_response,unsafe_or_controversial,0.9252747252747251,0.7279098155811566,421,70,351,63,7,23,328,0.9,0.06552706552706553,0.7325581395348837
split,policy_train,prompt_only,unsafe_only,0.8243993882886884,0.39022166740215514,844,145,699,130,15,190,509,0.896551724137931,0.2718168812589413,0.40625
split,policy_train,prompt_only,unsafe_or_controversial,0.8243993882886884,0.39022166740215514,844,145,699,136,9,231,468,0.9379310344827586,0.33047210300429186,0.37057220708446864
split,policy_train,response_only,unsafe_only,0.9233140940259484,0.7792577070770583,844,145,699,99,46,11,688,0.6827586206896552,0.015736766809728183,0.9
split,policy_train,response_only,unsafe_or_controversial,0.9233140940259484,0.7792577070770583,844,145,699,128,17,49,650,0.8827586206896552,0.07010014306151645,0.7231638418079096
split,policy_train,prompt_response,unsafe_only,0.9319273839475113,0.7499379243274289,844,145,699,117,28,27,672,0.8068965517241379,0.03862660944206009,0.8125
split,policy_train,prompt_response,unsafe_or_controversial,0.9319273839475113,0.7499379243274289,844,145,699,132,13,41,658,0.9103448275862069,0.058655221745350504,0.7630057803468208
